1785936651,loadtest-sim-k6-run-229318270606,90.89
1785936651,lts-app,108.98
1785936651,lts-nginx,0.00
1785936651,lts-grafana,1.07
1785936651,lts-pg-exporter,1.17
1785936651,lts-postgres,63.71
1785936651,lts-prometheus,52.32
1785936655,loadtest-sim-k6-run-229318270606,76.60
1785936655,lts-app,97.29
1785936655,lts-nginx,0.00
1785936655,lts-grafana,1.02
1785936655,lts-pg-exporter,1.08
1785936655,lts-postgres,54.24
1785936655,lts-prometheus,0.33
1785936659,loadtest-sim-k6-run-229318270606,100.86
1785936659,lts-app,100.65
1785936659,lts-nginx,0.00
1785936659,lts-grafana,1.01
1785936659,lts-pg-exporter,0.83
1785936659,lts-postgres,53.46
1785936659,lts-prometheus,0.78
1785936663,loadtest-sim-k6-run-229318270606,81.09
1785936663,lts-app,104.38
1785936663,lts-nginx,0.00
1785936663,lts-grafana,0.76
1785936663,lts-pg-exporter,1.55
1785936663,lts-postgres,53.69
1785936663,lts-prometheus,0.80
1785936667,loadtest-sim-k6-run-229318270606,81.66
1785936667,lts-app,102.20
1785936667,lts-nginx,0.00
1785936667,lts-grafana,0.89
1785936667,lts-pg-exporter,1.38
1785936667,lts-postgres,52.28
1785936667,lts-prometheus,0.15
1785936671,loadtest-sim-k6-run-229318270606,91.78
1785936671,lts-app,109.59
1785936671,lts-nginx,0.00
1785936671,lts-grafana,1.07
1785936671,lts-pg-exporter,0.00
1785936671,lts-postgres,61.14
1785936671,lts-prometheus,51.62
1785936674,loadtest-sim-k6-run-229318270606,91.63
1785936674,lts-app,106.72
1785936674,lts-nginx,0.00
1785936674,lts-grafana,1.01
1785936674,lts-pg-exporter,1.00
1785936674,lts-postgres,54.19
1785936674,lts-prometheus,1.04
1785936678,loadtest-sim-k6-run-229318270606,108.14
1785936678,lts-app,98.04
1785936678,lts-nginx,0.00
1785936678,lts-grafana,0.86
1785936678,lts-pg-exporter,0.00
1785936678,lts-postgres,51.82
1785936678,lts-prometheus,1.01
1785936683,loadtest-sim-k6-run-229318270606,82.11
1785936683,lts-app,99.21
1785936683,lts-nginx,0.00
1785936683,lts-grafana,0.84
1785936683,lts-pg-exporter,1.73
1785936683,lts-postgres,55.93
1785936683,lts-prometheus,3.99
1785936687,loadtest-sim-k6-run-229318270606,80.12
1785936687,lts-app,99.24
1785936687,lts-nginx,0.00
1785936687,lts-grafana,0.77
1785936687,lts-pg-exporter,0.82
1785936687,lts-postgres,52.04
1785936687,lts-prometheus,0.13
1785936691,loadtest-sim-k6-run-229318270606,92.39
1785936691,lts-app,108.66
1785936691,lts-nginx,0.00
1785936691,lts-grafana,1.54
1785936691,lts-pg-exporter,1.06
1785936691,lts-postgres,64.96
1785936691,lts-prometheus,50.99
1785936695,loadtest-sim-k6-run-229318270606,86.02
1785936695,lts-app,108.30
1785936695,lts-nginx,0.00
1785936695,lts-grafana,0.88
1785936695,lts-pg-exporter,0.79
1785936695,lts-postgres,57.23
1785936695,lts-prometheus,0.29
1785936699,loadtest-sim-k6-run-229318270606,106.65
1785936699,lts-app,102.22
1785936699,lts-nginx,0.00
1785936699,lts-grafana,0.73
1785936699,lts-pg-exporter,0.79
1785936699,lts-postgres,58.17
1785936699,lts-prometheus,1.24
1785936703,loadtest-sim-k6-run-229318270606,81.02
1785936703,lts-app,110.11
1785936703,lts-nginx,0.00
1785936703,lts-grafana,0.78
1785936703,lts-pg-exporter,1.57
1785936703,lts-postgres,59.09
1785936703,lts-prometheus,0.77
1785936707,loadtest-sim-k6-run-229318270606,87.83
1785936707,lts-app,110.70
1785936707,lts-nginx,0.00
1785936707,lts-grafana,0.90
1785936707,lts-pg-exporter,0.00
1785936707,lts-postgres,59.40
1785936707,lts-prometheus,0.25
1785936711,loadtest-sim-k6-run-229318270606,92.88
1785936711,lts-app,110.41
1785936711,lts-nginx,0.00
1785936711,lts-grafana,0.78
1785936711,lts-pg-exporter,0.00
1785936711,lts-postgres,64.48
1785936711,lts-prometheus,51.99
1785936715,loadtest-sim-k6-run-229318270606,91.34
1785936715,lts-app,110.25
1785936715,lts-nginx,0.00
1785936715,lts-grafana,0.88
1785936715,lts-pg-exporter,0.00
1785936715,lts-postgres,59.92
